"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Apr 29 23:36:08 CST 2019","Mon Apr 29 23:36:11 CST 2019","3089","","protection waf.id:  reenable the inital ruleId","","protection waf.id:  reenable the inital ruleId","check ui","check ui",""
"passed","Mon Apr 29 23:30:12 CST 2019","Mon Apr 29 23:30:12 CST 2019","25","","protection basic settings: IP based off: with one subnet","","protection basic settings: IP based off: with one subnet","off: not in the range, curl should be reload, curl=/155655178006089","off: not in the range, curl should be reload, curl=/155655178006089",""
"passed","Tue Apr 30 00:17:45 CST 2019","Tue Apr 30 00:17:46 CST 2019","819","","update src ip to X-Forwarded-For: penultimate","","update src ip to X-Forwarded-For: penultimate","check UI value","check UI value",""
"passed","Tue Apr 30 00:01:50 CST 2019","Tue Apr 30 00:01:51 CST 2019","1152","","Profile basic setting: health exam  TCP","","Profile basic setting: health exam  TCP","all online, check dashboard page","all online, check dashboard page",""
"passed","Tue Apr 30 00:00:49 CST 2019","Tue Apr 30 00:00:52 CST 2019","3709","","security log","","security log","category deselect inject, result will not show inject entries","category deselect inject, result will not show inject entries",""
"passed","Tue Apr 30 00:00:59 CST 2019","Tue Apr 30 00:01:04 CST 2019","4711","","security log","","security log","search by cookieid","search by cookieid",""
"passed","Mon Apr 29 23:24:41 CST 2019","Mon Apr 29 23:24:41 CST 2019","22","","protection basic settings: set entry point change to default","","protection basic settings: set entry point change to default","previous entry point should be Reload","previous entry point should be Reload",""
"passed","Mon Apr 29 23:26:29 CST 2019","Mon Apr 29 23:26:39 CST 2019","10815","","protection web standard security scheme: Form encryption  off","","protection web standard security scheme: Form encryption  off","unencrypted data post request should not be rejected","unencrypted data post request should not be rejected",""
"passed","Mon Apr 29 23:57:28 CST 2019","Mon Apr 29 23:57:43 CST 2019","14162","","default admin account management","","default admin account management","change type from viewer to admin : enabled","change type from viewer to admin : enabled",""
"passed","Tue Apr 30 00:09:25 CST 2019","Tue Apr 30 00:09:37 CST 2019","12281","","Log output: raw set tcp","","Log output: raw set tcp","check the raw log is outputed to logserver, and protocol is tcp","check the raw log is outputed to logserver, and protocol is tcp",""
"passed","Mon Apr 29 23:48:04 CST 2019","Mon Apr 29 23:48:04 CST 2019","1","","set error template {""400"":true,""403"":true,""404"":true,""500"":true,""502"":true,""504"":true}","","set error template {""400"":true,""403"":true,""404"":true,""500"":true,""502"":true,""504"":true}","check ui","check ui",""
"passed","Mon Apr 29 23:27:16 CST 2019","Mon Apr 29 23:27:46 CST 2019","30254","","protection http methods enable all","","protection http methods enable all","none method should be 403","none method should be 403",""
"passed","Tue Apr 30 00:08:26 CST 2019","Tue Apr 30 00:08:26 CST 2019","24","","ntp","","ntp","update, and ntp.conf file updated","update, and ntp.conf file updated",""
"failed","Tue Apr 30 00:08:11 CST 2019","Tue Apr 30 00:08:12 CST 2019","1012","","role based menu and user menu check support","","role based menu and user menu check support","_testMenuStats should be {""isDashboardVisible"":true,""isStaticVisible"":true,""isLogsVisible"":true,""isProtectionVisible"":true,""isAccountVisible"":false,""isSystemVisible"":true,""isScheudleReportVisible"":true,""isSystemSettingVisible"":true,""isSystemUpdateVisible"":true,""isNetworkSettingsVisible"":true,""isLicenseVisible"":true,""isSSLCertificateVisbile"":true}","_testMenuStats should be {""isDashboardVisible"":true,""isStaticVisible"":true,""isLogsVisible"":true,""isProtectionVisible"":true,""isAccountVisible"":false,""isSystemVisible"":true,""isScheudleReportVisible"":true,""isSystemSettingVisible"":true,""isSystemUpdateVisible"":true,""isNetworkSettingsVisible"":true,""isLicenseVisible"":true,""isSSLCertificateVisbile"":true}",""
"passed","Mon Apr 29 23:59:52 CST 2019","Mon Apr 29 23:59:57 CST 2019","4905","","dashboard","","dashboard","admin click see more","admin click see more",""
"passed","Mon Apr 29 23:24:08 CST 2019","Mon Apr 29 23:24:08 CST 2019","24","","protection web standard security scheme: crack  true","","protection web standard security scheme: crack  true","check conf file min and max level include crack true","check conf file min and max level include crack true",""
"passed","Mon Apr 29 23:22:18 CST 2019","Mon Apr 29 23:22:18 CST 2019","2","","protection web standard security scheme: autoTool dection  false","","protection web standard security scheme: autoTool dection  false","check uistatus","check uistatus",""
"passed","Mon Apr 29 23:55:34 CST 2019","Mon Apr 29 23:55:34 CST 2019","45","","set error template on","","set error template on","match goodbot request should pass through","match goodbot request should pass through",""
"failed","Mon Apr 29 23:37:17 CST 2019","Mon Apr 29 23:40:17 CST 2019","180319","","set error template {""400"":true}","","set error template {""400"":true}","orginal response page content","orginal response page content",""
"passed","Tue Apr 30 00:19:01 CST 2019","Tue Apr 30 00:19:24 CST 2019","22648","","Log output: formatted log set tcp: all log","","Log output: formatted log set tcp: all log","check both normal and abnormal log are outputed to logserver","check both normal and abnormal log are outputed to logserver",""
"passed","Tue Apr 30 00:16:17 CST 2019","Tue Apr 30 00:16:18 CST 2019","960","","login should be failed when","","login should be failed when","noEnable user should return The account is not activated","noEnable user should return The account is not activated",""
"passed","Mon Apr 29 23:29:00 CST 2019","Mon Apr 29 23:29:03 CST 2019","3161","","https:  http to https: on","","https:  http to https: on","check ui","check ui",""
"passed","Tue Apr 30 00:13:01 CST 2019","Tue Apr 30 00:13:01 CST 2019","3","","protection basic settings: IP based on: empty list","","protection basic settings: IP based on: empty list","UI check mode","UI check mode",""
"passed","Tue Apr 30 00:08:26 CST 2019","Tue Apr 30 00:08:26 CST 2019","248","","ntp","","ntp","check ui value","check ui value",""
"passed","Tue Apr 30 00:11:38 CST 2019","Tue Apr 30 00:11:38 CST 2019","24","","protection web: block by browsers {""browserStatus"":false,""webviewStatus"":true,""confValue"":""webview"",""reject"":false}","","protection web: block by browsers {""browserStatus"":false,""webviewStatus"":true,""confValue"":""webview"",""reject"":false}","conf check should be webview","conf check should be webview",""
"passed","Tue Apr 30 00:01:18 CST 2019","Tue Apr 30 00:01:21 CST 2019","3156","","security log","","security log","action should show if cookie token error only","action should show if cookie token error only",""
"passed","Mon Apr 29 23:23:28 CST 2019","Mon Apr 29 23:23:28 CST 2019","27","","protection web: browser console monitor  false","","protection web: browser console monitor  false","check conf file off","check conf file off",""
"passed","Tue Apr 30 00:15:36 CST 2019","Tue Apr 30 00:15:39 CST 2019","3246","","password change page","","password change page","Created admin: name,type,enable is readonly","Created admin: name,type,enable is readonly",""
"passed","Tue Apr 30 00:01:41 CST 2019","Tue Apr 30 00:01:43 CST 2019","1175","","Profile basic setting: health exam  off","","Profile basic setting: health exam  off","check dashboard page","check dashboard page",""
"passed","Mon Apr 29 23:25:47 CST 2019","Mon Apr 29 23:25:58 CST 2019","11420","","protection web standard security scheme: Form encryption  on","","protection web standard security scheme: Form encryption  on","form submission through browser should be accepted","form submission through browser should be accepted",""
"failed","Mon Apr 29 23:48:04 CST 2019","Mon Apr 29 23:51:05 CST 2019","180268","","set error template {""400"":true,""403"":true,""404"":true,""500"":true,""502"":true,""504"":true}","","set error template {""400"":true,""403"":true,""404"":true,""500"":true,""502"":true,""504"":true}","orginal response page content","orginal response page content",""
"passed","Mon Apr 29 23:30:12 CST 2019","Mon Apr 29 23:30:12 CST 2019","0","","protection basic settings: IP based off: with one subnet","","protection basic settings: IP based off: with one subnet","UI check mode","UI check mode",""
"passed","Tue Apr 30 00:10:54 CST 2019","Tue Apr 30 00:11:06 CST 2019","12158","","Log output: formatted log set off","","Log output: formatted log set off","check the log is not outputed to logserver","check the log is not outputed to logserver",""
"passed","Mon Apr 29 23:25:08 CST 2019","Mon Apr 29 23:25:08 CST 2019","0","","protection protected features: web protection on","","protection protected features: web protection on","check uistatus","check uistatus",""
"passed","Mon Apr 29 23:24:41 CST 2019","Mon Apr 29 23:24:41 CST 2019","1","","protection basic settings: set entry point change to default","","protection basic settings: set entry point change to default","check UI","check UI",""
"passed","Mon Apr 29 23:56:45 CST 2019","Mon Apr 29 23:56:45 CST 2019","2","","accounts page display check","","accounts page display check","support account should not display delete btn","support account should not display delete btn",""
"passed","Tue Apr 30 00:12:31 CST 2019","Tue Apr 30 00:12:31 CST 2019","3","","protection basic settings: IP based off: empty list","","protection basic settings: IP based off: empty list","UI check mode","UI check mode",""
"passed","Tue Apr 30 00:11:38 CST 2019","Tue Apr 30 00:11:38 CST 2019","0","","protection web: block by browsers {""browserStatus"":false,""webviewStatus"":true,""confValue"":""webview"",""reject"":false}","","protection web: block by browsers {""browserStatus"":false,""webviewStatus"":true,""confValue"":""webview"",""reject"":false}","uicheck","uicheck",""
"passed","Tue Apr 30 00:02:21 CST 2019","Tue Apr 30 00:02:51 CST 2019","29575","","Profile basic setting: health exam  TCP","","Profile basic setting: health exam  TCP","all offline, check dashboard page","all offline, check dashboard page",""
"passed","Mon Apr 29 23:44:28 CST 2019","Mon Apr 29 23:44:28 CST 2019","1","","set error template {""400"":false,""403"":false,""404"":false,""500"":false,""502"":false,""504"":false}","","set error template {""400"":false,""403"":false,""404"":false,""500"":false,""502"":false,""504"":false}","check ui","check ui",""
"passed","Tue Apr 30 00:16:01 CST 2019","Tue Apr 30 00:16:06 CST 2019","4884","","dashboard","","dashboard","support click see more","support click see more",""
"passed","Tue Apr 30 00:00:45 CST 2019","Tue Apr 30 00:00:49 CST 2019","3640","","security log","","security log","show data correctly","show data correctly",""
"failed","Mon Apr 29 23:35:14 CST 2019","Mon Apr 29 23:35:17 CST 2019","3155","","protection waf.id:  default check","","protection waf.id:  default check","check ui","check ui",""
"passed","Tue Apr 30 00:07:42 CST 2019","Tue Apr 30 00:07:42 CST 2019","3","","rbac dashboard page:viwer","","rbac dashboard page:viwer","check isSeeMoreVisible: true","check isSeeMoreVisible: true",""
"passed","Mon Apr 29 23:51:42 CST 2019","Mon Apr 29 23:51:42 CST 2019","3","","set error template {""400"":true,""403"":false,""404"":false,""500"":true,""502"":true,""504"":false}","","set error template {""400"":true,""403"":false,""404"":false,""500"":true,""502"":true,""504"":false}","check ui","check ui",""
"passed","Tue Apr 30 00:12:42 CST 2019","Tue Apr 30 00:12:42 CST 2019","1","","protection basic settings: IP based off: 2 IPs","","protection basic settings: IP based off: 2 IPs","off: UI check mode","off: UI check mode",""
"passed","Mon Apr 29 23:58:54 CST 2019","Mon Apr 29 23:59:08 CST 2019","13343","","created admin account management","","created admin account management","can enable Viewer","can enable Viewer",""
"passed","Tue Apr 30 00:15:57 CST 2019","Tue Apr 30 00:15:59 CST 2019","1507","","dashboard","","dashboard","created admin click Go to Protection Settings","created admin click Go to Protection Settings",""
"passed","Tue Apr 30 00:11:38 CST 2019","Tue Apr 30 00:11:39 CST 2019","536","","protection web: block by browsers {""browserStatus"":false,""webviewStatus"":true,""confValue"":""webview"",""reject"":false}","","protection web: block by browsers {""browserStatus"":false,""webviewStatus"":true,""confValue"":""webview"",""reject"":false}","browser access should be reject false","browser access should be reject false",""
"passed","Tue Apr 30 00:14:41 CST 2019","Tue Apr 30 00:14:48 CST 2019","6211","","default admin account management","","default admin account management","cancel will not delete the account","cancel will not delete the account",""
"passed","Tue Apr 30 00:16:06 CST 2019","Tue Apr 30 00:16:10 CST 2019","4743","","dashboard","","dashboard","viewer click node ip","viewer click node ip",""
"passed","Mon Apr 29 23:30:02 CST 2019","Mon Apr 29 23:30:02 CST 2019","24","","protection basic settings: IP based off: with one single IP","","protection basic settings: IP based off: with one single IP","off: not in the list, curl should be reload, curl=/155655178006089","off: not in the list, curl should be reload, curl=/155655178006089",""
"passed","Mon Apr 29 23:22:55 CST 2019","Mon Apr 29 23:22:55 CST 2019","3","","protection web: block by browsers {""browserStatus"":true,""webviewStatus"":true,""confValue"":""all"",""reject"":true}","","protection web: block by browsers {""browserStatus"":true,""webviewStatus"":true,""confValue"":""all"",""reject"":true}","uicheck","uicheck",""
"passed","Mon Apr 29 23:23:36 CST 2019","Mon Apr 29 23:23:36 CST 2019","1","","protection web: browser console monitor  true","","protection web: browser console monitor  true","check uistatus true","check uistatus true",""
"passed","Mon Apr 29 23:30:44 CST 2019","Mon Apr 29 23:30:44 CST 2019","2","","protection mode monitor","","protection mode monitor","check UI status","check UI status",""
"passed","Tue Apr 30 00:12:42 CST 2019","Tue Apr 30 00:12:42 CST 2019","81","","protection basic settings: IP based off: 2 IPs","","protection basic settings: IP based off: 2 IPs","off: all IP in the lists should not be reloaded nor rejected, curl=/155655433866382","off: all IP in the lists should not be reloaded nor rejected, curl=/155655433866382",""
"passed","Mon Apr 29 23:33:48 CST 2019","Mon Apr 29 23:33:48 CST 2019","2","","protection web standard security scheme: Session Replay  true","","protection web standard security scheme: Session Replay  true","check uistatus","check uistatus",""
"failed","Mon Apr 29 23:44:28 CST 2019","Mon Apr 29 23:47:28 CST 2019","180261","","set error template {""400"":false,""403"":false,""404"":false,""500"":false,""502"":false,""504"":false}","","set error template {""400"":false,""403"":false,""404"":false,""500"":false,""502"":false,""504"":false}","orginal response page content","orginal response page content",""
"passed","Tue Apr 30 00:16:59 CST 2019","Tue Apr 30 00:17:13 CST 2019","14592","","update src ip to X-Forwarded-For: first","","update src ip to X-Forwarded-For: first","check log page shows IP as header value 1.1.1.1","check log page shows IP as header value 1.1.1.1",""
"passed","Tue Apr 30 00:14:57 CST 2019","Tue Apr 30 00:15:10 CST 2019","13071","","default admin account management","","default admin account management","change type from admin to viewer : disabled","change type from admin to viewer : disabled",""
"passed","Mon Apr 29 23:57:56 CST 2019","Mon Apr 29 23:58:09 CST 2019","12646","","default admin account management","","default admin account management","can disable Viewer","can disable Viewer",""
"passed","Mon Apr 29 23:23:05 CST 2019","Mon Apr 29 23:23:05 CST 2019","23","","protection web: block by browsers {""browserStatus"":false,""webviewStatus"":false,""confValue"":""none"",""reject"":false}","","protection web: block by browsers {""browserStatus"":false,""webviewStatus"":false,""confValue"":""none"",""reject"":false}","conf check should be none","conf check should be none",""
"passed","Tue Apr 30 00:08:45 CST 2019","Tue Apr 30 00:08:45 CST 2019","31","","system general page, set backupValue to 14","","system general page, set backupValue to 14","check config file value","check config file value",""
"passed","Tue Apr 30 00:03:29 CST 2019","Tue Apr 30 00:04:00 CST 2019","30151","","Profile basic setting: health exam  HTTP","","Profile basic setting: health exam  HTTP","one online, one offline, check dashboard page","one online, one offline, check dashboard page",""
"failed","Mon Apr 29 23:40:52 CST 2019","Mon Apr 29 23:43:52 CST 2019","180283","","set error template {""500"":true}","","set error template {""500"":true}","orginal response page content","orginal response page content",""
"passed","Tue Apr 30 00:13:44 CST 2019","Tue Apr 30 00:13:44 CST 2019","35","","advanced setting: request and response headers all enabled with some changed value","","advanced setting: request and response headers all enabled with some changed value","check request headers upstream received","check request headers upstream received",""
"passed","Mon Apr 29 23:31:59 CST 2019","Mon Apr 29 23:31:59 CST 2019","30","","protection port offset  set port 90","","protection port offset  set port 90","cookie token should be on 90","cookie token should be on 90",""
"passed","Tue Apr 30 00:08:15 CST 2019","Tue Apr 30 00:08:16 CST 2019","678","","role based menu and user menu check viewer","","role based menu and user menu check viewer","_testMenuStats should be {""isDashboardVisible"":true,""isStaticVisible"":true,""isLogsVisible"":true,""isProtectionVisible"":false,""isAccountVisible"":false,""isSystemVisible"":true,""isScheudleReportVisible"":true,""isSystemSettingVisible"":false,""isSystemUpdateVisible"":false,""isNetworkSettingsVisible"":false,""isLicenseVisible"":true,""isSSLCertificateVisbile"":false}","_testMenuStats should be {""isDashboardVisible"":true,""isStaticVisible"":true,""isLogsVisible"":true,""isProtectionVisible"":false,""isAccountVisible"":false,""isSystemVisible"":true,""isScheudleReportVisible"":true,""isSystemSettingVisible"":false,""isSystemUpdateVisible"":false,""isNetworkSettingsVisible"":false,""isLicenseVisible"":true,""isSSLCertificateVisbile"":false}",""
"passed","Tue Apr 30 00:13:56 CST 2019","Tue Apr 30 00:13:56 CST 2019","1","","advanced setting: request and response headers all disabled","","advanced setting: request and response headers all disabled","check uistatus","check uistatus",""
"passed","Mon Apr 29 23:32:07 CST 2019","Mon Apr 29 23:32:07 CST 2019","0","","protection port offset  disable","","protection port offset  disable","ui check","ui check",""
"passed","Mon Apr 29 23:25:08 CST 2019","Mon Apr 29 23:25:08 CST 2019","23","","protection protected features: web protection on","","protection protected features: web protection on","check non whitelist will reload, curl=155655148973669","check non whitelist will reload, curl=155655148973669",""
"passed","Mon Apr 29 23:22:55 CST 2019","Mon Apr 29 23:22:55 CST 2019","41","","protection web: block by browsers {""browserStatus"":true,""webviewStatus"":true,""confValue"":""all"",""reject"":true}","","protection web: block by browsers {""browserStatus"":true,""webviewStatus"":true,""confValue"":""all"",""reject"":true}","conf check should be all","conf check should be all",""
"passed","Mon Apr 29 23:25:58 CST 2019","Mon Apr 29 23:26:09 CST 2019","10786","","protection web standard security scheme: Form encryption  on","","protection web standard security scheme: Form encryption  on","unencrypted data post request should be rejected,attack_type is form","unencrypted data post request should be rejected,attack_type is form",""
"passed","Mon Apr 29 23:23:05 CST 2019","Mon Apr 29 23:23:05 CST 2019","1","","protection web: block by browsers {""browserStatus"":false,""webviewStatus"":false,""confValue"":""none"",""reject"":false}","","protection web: block by browsers {""browserStatus"":false,""webviewStatus"":false,""confValue"":""none"",""reject"":false}","uicheck","uicheck",""
"passed","Tue Apr 30 00:12:53 CST 2019","Tue Apr 30 00:12:53 CST 2019","0","","protection basic settings: IP based off: one subnet + one IP","","protection basic settings: IP based off: one subnet + one IP","UI check mode","UI check mode",""
"passed","Mon Apr 29 23:30:44 CST 2019","Mon Apr 29 23:30:58 CST 2019","13794","","protection mode monitor","","protection mode monitor","should still log the attack type","should still log the attack type",""
"passed","Mon Apr 29 23:59:38 CST 2019","Mon Apr 29 23:59:45 CST 2019","6825","","password change page","","password change page","Viewer can update own password","Viewer can update own password",""
"passed","Mon Apr 29 23:24:33 CST 2019","Mon Apr 29 23:24:33 CST 2019","43","","protection basic settings: set entry point non default","","protection basic settings: set entry point non default","check entrypoint will not reload nor 400, curl=/155655145747333","check entrypoint will not reload nor 400, curl=/155655145747333",""
"passed","Tue Apr 30 00:14:23 CST 2019","Tue Apr 30 00:14:23 CST 2019","41","","protection request whitelist  set two items, one getonly, one not","","protection request whitelist  set two items, one getonly, one not","all: curl post will not be rejected","all: curl post will not be rejected",""
"passed","Tue Apr 30 00:04:00 CST 2019","Tue Apr 30 00:04:29 CST 2019","29575","","Profile basic setting: health exam  HTTP","","Profile basic setting: health exam  HTTP","all offline, check dashboard page","all offline, check dashboard page",""
"passed","Mon Apr 29 23:34:58 CST 2019","Mon Apr 29 23:34:58 CST 2019","23","","protection waf features:  on","","protection waf features:  on","check inject query will be rejected","check inject query will be rejected",""
"failed","Mon Apr 29 23:36:11 CST 2019","Mon Apr 29 23:36:26 CST 2019","14333","","protection waf.id:  reenable the inital ruleId","","protection waf.id:  reenable the inital ruleId","should be blocked by initial ruleId","should be blocked by initial ruleId",""
"passed","Tue Apr 30 00:12:53 CST 2019","Tue Apr 30 00:12:53 CST 2019","24","","protection basic settings: IP based off: one subnet + one IP","","protection basic settings: IP based off: one subnet + one IP","off: not in the range, curl should be reload, curl=/155655433866382","off: not in the range, curl should be reload, curl=/155655433866382",""
"passed","Mon Apr 29 23:29:03 CST 2019","Mon Apr 29 23:29:03 CST 2019","25","","https:  http to https: on","","https:  http to https: on","http will be redirect to https","http will be redirect to https",""
"passed","Mon Apr 29 23:26:17 CST 2019","Mon Apr 29 23:26:29 CST 2019","11076","","protection web standard security scheme: Form encryption  off","","protection web standard security scheme: Form encryption  off","form submission through browser should be accepted","form submission through browser should be accepted",""
"passed","Tue Apr 30 00:13:56 CST 2019","Tue Apr 30 00:13:56 CST 2019","25","","advanced setting: request and response headers all disabled","","advanced setting: request and response headers all disabled","client doesn't send xff and xrealip, check request headers upstream received","client doesn't send xff and xrealip, check request headers upstream received",""
"passed","Tue Apr 30 00:07:58 CST 2019","Tue Apr 30 00:07:59 CST 2019","557","","rbac viewer check logs page","","rbac viewer check logs page","cannot see operation logs","cannot see operation logs",""
"passed","Tue Apr 30 00:05:59 CST 2019","Tue Apr 30 00:05:59 CST 2019","721","","update src ip  to X-Real-IP","","update src ip  to X-Real-IP","check UI value","check UI value",""
"passed","Tue Apr 30 00:14:31 CST 2019","Tue Apr 30 00:14:35 CST 2019","3698","","Update User page display check","","Update User page display check","username should be readonly","username should be readonly",""
"passed","Tue Apr 30 00:12:53 CST 2019","Tue Apr 30 00:12:53 CST 2019","47","","protection basic settings: IP based off: one subnet + one IP","","protection basic settings: IP based off: one subnet + one IP","off: in the range,diff ip, curl should not be reload nor reject, curl=/155655433866382","off: in the range,diff ip, curl should not be reload nor reject, curl=/155655433866382",""
"skipped","Mon Apr 29 23:29:31 CST 2019","Mon Apr 29 23:29:31 CST 2019","0","","protection invalid request policy:  blocking page: skip, essential protection cannot trigger blocking page","","protection invalid request policy:  blocking page: skip, essential protection cannot trigger blocking page","check post nonwhitelist will be blocking template","check post nonwhitelist will be blocking template",""
"passed","Tue Apr 30 00:12:53 CST 2019","Tue Apr 30 00:12:53 CST 2019","43","","protection basic settings: IP based off: one subnet + one IP","","protection basic settings: IP based off: one subnet + one IP","off: matching ip, curl should not be reload nor reject, curl=/155655433866382","off: matching ip, curl should not be reload nor reject, curl=/155655433866382",""
"passed","Mon Apr 29 23:31:05 CST 2019","Mon Apr 29 23:31:05 CST 2019","22","","protection mode block","","protection mode block","curl nonWhiteList should return reload","curl nonWhiteList should return reload",""
"passed","Tue Apr 30 00:01:51 CST 2019","Tue Apr 30 00:02:21 CST 2019","30170","","Profile basic setting: health exam  TCP","","Profile basic setting: health exam  TCP","one online, one offline, check dashboard page","one online, one offline, check dashboard page",""
"passed","Mon Apr 29 23:23:28 CST 2019","Mon Apr 29 23:23:28 CST 2019","3","","protection web: browser console monitor  false","","protection web: browser console monitor  false","check uistatus false","check uistatus false",""
"passed","Mon Apr 29 23:30:12 CST 2019","Mon Apr 29 23:30:12 CST 2019","57","","protection basic settings: IP based off: with one subnet","","protection basic settings: IP based off: with one subnet","off: in the list,same ip, curl should not be reload nor reject, curl=/155655178006089","off: in the list,same ip, curl should not be reload nor reject, curl=/155655178006089",""
